Name,Tons,BV,PV,Role,TRO/RS,Rules,Intro
Locust LCT-1E,20,553,19,Scout,TR:SW RSFP:Wave 1,Introductory,2811
Wasp WSP-1L,20,335,14,Scout,TR:3039 RS:3039u,Introductory,2799
Hermes HER-1A,30,601,21,Scout,TR:SW RS:SW,Introductory,2856
Hermes HER-1B,30,687,25,Striker,TR:SW RS:SW,Introductory,2856
UrbanMech UM-R60L,30,470,11,Ambusher,TR:SW RS:SW,Introductory,2925
Panther PNT-9R,35,769,19,Brawler,TR:SW RSFP:Wave 2,Introductory,2759
Cicada CDA-2B,40,626,22,Scout,TR:SW RS:SW,Introductory,2840
Cicada CDA-3C,40,771,22,Scout,TR:SW RS:SW,Introductory,2840
Clint CLNT-1-2R,40,707,19,Striker,TR:SW RS:SW,Introductory,2607
Clint CLNT-2-4T,40,619,16,Sniper,TR:SW RS:SW,Introductory,Unknown
Hermes II HER-2S,40,784,22,Scout,TR:SW RS:SW,Introductory,2798
"Vindicator VND-1AA ""Avenging Angel""",45,966,23,Skirmisher,TR:SW RS:SW,Introductory,2863
Vindicator VND-1R,45,"1,024",27,Brawler,TR:SW RS:SW,Introductory,2826
Vindicator VND-1X,45,"1,008",27,Brawler,TR:SW RS:SW,Introductory,2826
Catapult CPLT-A1,65,"1,285",31,Missile Boat,TR:SW RS:SW,Introductory,2563
Catapult CPLT-C4,65,"1,358",31,Missile Boat,TR:SW RS:SW,Introductory,2565
Crusader CRD-3L,65,"1,297",34,Missile Boat,TR:3039 RS:3039u,Introductory,2753
JagerMech JM6-S,65,901,26,Sniper,TR:SW RS:SW,Introductory,2774
Warhammer WHM-6L,70,"1,311",31,Brawler,TR:3039 RS:3039u,Introductory,2825
Marauder MAD-3L,75,"1,369",35,Brawler,TR:3039 RS:3039u,Introductory,2905
Striker STC-2C,80,"1,488",36,Brawler,TR:3058U RS:3058Uu-C,Introductory,2571
Victor VTR-9A,80,"1,236",31,Skirmisher,TR:SW RS:SW,Introductory,2508
Victor VTR-9A1,80,"1,302",33,Skirmisher,TR:SW RS:SW,Introductory,2508
Highlander HGN-733,90,"1,801",44,Juggernaut,TR:SW RSFP:Wave 2,Introductory,2866
Highlander HGN-733C,90,"1,857",44,Juggernaut,TR:SW RS:SW,Introductory,2866
Highlander HGN-733P,90,"1,865",46,Sniper,TR:SW RS:SW,Introductory,2866
Atlas AS7-A,100,"1,787",52,Juggernaut,TR:SW RS:SW,Introductory,2954
