Name,Tons,BV,PV,Role,TRO/RS,Rules,Intro
Locust LCT-1V,20,432,18,Scout,TR:SW RSFP:Wave 1,Introductory,2499
Mercury MCY-99,20,586,22,Scout,TR:SW RSFP:Wave 2,Standard,2742
Stinger STG-3G,20,497,14,Scout,TR:3039 RS:3039u,Introductory,2581
Stinger STG-3R,20,359,14,Scout,TR:3039 RSFP:Wave 1,Introductory,2479
Thorn THE-N,20,546,18,Striker,TR:SW RS:SW,Standard,2549
Wasp WSP-1A,20,384,14,Scout,TR:3039 RSFP:Wave 1,Introductory,2471
Mongoose MON-66,25,758,30,Scout,TR:SW RSFP:Wave 2,Standard,2660
Falcon FLC-4N,30,610,19,Scout,TR:SW RS:SW,Introductory,2582
Hermes HER-1S,30,716,25,Scout,TR:SW RS:SW,Standard,2632
Hussar HSR-200-D,30,636,18,Scout,TR:SW RS:SW,Standard,2620
Javelin JVN-10N,30,594,19,Striker,TR:SW RS:SW,Introductory,2751
Spider SDR-5V,30,622,21,Scout,TR:SW RSFP:Wave 2,Introductory,2650
UrbanMech UM-R60,30,504,11,Ambusher,TR:SW RSFP:Wave 1,Introductory,2675
Firestarter FS9-H,35,694,20,Scout,TR:SW RS:SW,Introductory,2703
Ostscout OTT-7J,35,596,21,Scout,TR:SW RS:SW,Introductory,2600
Assassin ASN-21,40,749,22,Scout,TR:SW RS:SW,Introductory,2676
Cicada CDA-2A,40,659,22,Scout,TR:SW RS:SW,Introductory,2740
Clint CLNT-2-3T,40,770,21,Striker,TR:SW RS:SW,Introductory,2608
Sentinel STN-3L,40,717,23,Striker,TR:SW RSFP:Wave 2,Standard,2652
Vulcan VL-2T,40,642,20,Scout,TR:SW RS:SW,Introductory,2777
Vulcan VL-5T,40,942,24,Striker,TR:SW RS:SW,Introductory,2778
Whitworth WTH-1,40,982,25,Missile Boat,TR:SW RS:SW,Introductory,2689
Blackjack BJ-1,45,949,26,Sniper,TR:SW RSFP:Wave 2,Introductory,2757
Phoenix Hawk PXH-1,45,"1,041",26,Skirmisher,TR:3039 RSFP:Wave 1,Introductory,2568
Chameleon TRC-4B,50,999,21,Scout,RGv1 RG25,Introductory,2510
Crab CRB-27,50,"1,198",29,Skirmisher,TR:SW RSFP:Wave 2,Standard,2719
Hunchback HBK-4G,50,"1,041",28,Juggernaut,TR:SW RSFP:Wave 2,Introductory,2572
Phoenix Hawk LAM PHX-HK2,50,"1,555",29,Striker,TR:3085 RS:3085u-CE,Experimental,2701
Dervish DV-6M,55,"1,146",30,Missile Boat,TR:SW RS:SW,Introductory,2570
Griffin GRF-1N,55,"1,272",31,Sniper,TR:SW RSFP:Wave 1,Introductory,2492
Griffin GRF-2N,55,"1,606",38,Skirmisher,RGv1 RG01,Standard,2751
Kintaro KTO-19,55,"1,160",36,Skirmisher,TR:SW RS:SW,Standard,2587
Scorpion SCP-1N,55,"1,019",27,Skirmisher,TR:3039 RS:3039u,Introductory,2570
Shadow Hawk SHD-2H,55,"1,064",30,Skirmisher,TR:SW RSFP:Wave 1,Introductory,2550
Shadow Hawk SHD-2Hb,55,"1,354",34,Skirmisher,RGv1 RG12,Standard,2752
Shadow Hawk SHD-3H2,55,"1,112",29,Brawler,Shrap14 ShrapRS,Advanced,2775
Wolverine WVR-6R,55,"1,101",30,Skirmisher,TR:SW RSFP:Wave 1,Introductory,2575
Champion CHP-1N,60,"1,233",34,Skirmisher,TR:3050U RS:3050Uu-C,Standard,2602
Champion CHP-1N2,60,"1,233",35,Skirmisher,TR:3039 RS:3039u,Standard,2667
Lancelot LNC25-01,60,"1,422",33,Skirmisher,TR:SW RSFP:Wave 2,Standard,2581
Lancelot LNC25-03,60,"1,360",36,Skirmisher,TR:SW RS:SW,Standard,2876
Lancelot LNC25-05,60,"1,365",32,Skirmisher,TR:SW RS:SW,Standard,2594
Ostroc OSR-2C,60,"1,228",34,Skirmisher,TR:3039 RS:3039u,Introductory,2511
Ostsol OTL-4D,60,"1,277",33,Skirmisher,TR:3039 RS:3039u,Introductory,2694
Quickdraw QKD-4G,60,"1,192",32,Skirmisher,TR:SW RS:SW,Introductory,2779
Rifleman RFL-3N,60,"1,039",26,Sniper,TR:3039 RSFP:Wave 1,Introductory,2770
